ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
10,14,b,103764.8,5069.4,4310.3,99454.5,11,10734856,1r1qk2r/1p2bpp1/p3bn1p/3Pp3/1n6/N1N1BP2/PPP1B1PP/R3QRK1 b k - 0 14
11,15,w,101410.4,4963.5,2610.7,98799.7,10,6516048,1r1qk2r/1p2bpp1/p3b2p/3np3/1n6/N1N1BP2/PPP1B1PP/R3QRK1 w k - 0 15
12,15,b,99954.5,4898.0,2707.8,97246.7,10,6977214,1r1qk2r/1p2bpp1/p3b2p/3np3/1n6/N1N2P2/PPP1BBPP/R3QRK1 b k - 1 15
13,16,w,99299.7,4868.5,4138.8,95160.8,10,10015240,1r2k2r/1pq1bpp1/p3b2p/3np3/1n6/N1N2P2/PPP1BBPP/R3QRK1 w k - 2 16
14,16,b,97746.7,4798.6,3286.0,94460.6,10,8228899,1r2k2r/1pq1bpp1/p3b2p/3np3/1nB5/N1N2P2/PPP2BPP/R3QRK1 b k - 3 16
15,17,w,95660.8,4704.7,3416.8,92244.1,10,8363022,3rk2r/1pq1bpp1/p3b2p/3np3/1nB5/N1N2P2/PPP2BPP/R3QRK1 w k - 4 17
16,17,b,94960.6,4673.2,3972.8,90987.9,11,9562635,3rk2r/1pq1bpp1/p3b2p/3Np3/1nB5/N4P2/PPP2BPP/R3QRK1 b k - 0 17
17,18,w,92744.1,4573.5,3888.6,88855.5,11,9860374,3rk2r/1pq1bpp1/p3b2p/3np3/2B5/N4P2/PPP2BPP/R3QRK1 w k - 0 18
18,18,b,91487.9,4517.0,3839.8,87648.0,10,9700356,3rk2r/1pq1bpp1/p3b2p/3np3/8/NB3P2/PPP2BPP/R3QRK1 b k - 1 18
19,19,w,89355.5,4421.0,3759.4,85596.1,11,9477126,3rk2r/2q1bpp1/p3b2p/1p1np3/8/NB3P2/PPP2BPP/R3QRK1 w k - 0 19
20,19,b,88148.0,4366.7,3712.7,84435.3,11,9675274,3rk2r/2q1bpp1/p3b2p/1p1np3/2P5/NB3P2/PP3BPP/R3QRK1 b k - 0 19
21,20,w,86096.1,4274.3,3633.9,82462.2,11,9373193,3rk2r/2q2pp1/p3b2p/1p1np3/1bP5/NB3P2/PP3BPP/R3QRK1 w k - 1 20
22,20,b,84935.3,4222.1,3589.6,81345.7,11,9514240,3rk2r/2q2pp1/p3b2p/1p1np3/1bP5/NB3P2/PP3BPP/RQ3RK1 b k - 2 20
23,21,w,82962.2,4133.3,3514.6,79447.6,11,8501511,3rk2r/2q2pp1/p3b2p/3np3/1bp5/NB3P2/PP3BPP/RQ3RK1 w k - 0 21
24,21,b,81845.7,4083.1,3471.1,78374.6,11,8781317,3rk2r/2q2pp1/p3b2p/3np3/1bN5/1B3P2/PP3BPP/RQ3RK1 b k - 0 21
25,22,w,79947.6,3997.6,3112.6,76835.0,10,7475767,3rk2r/2q2pp1/p3b2p/4p3/1bN2n2/1B3P2/PP3BPP/RQ3RK1 w k - 1 22
26,22,b,78874.6,3949.4,3357.9,75516.7,10,7901710,3rk2r/2q2pp1/p3b2p/4p3/1bN1Qn2/1B3P2/PP3BPP/R4RK1 b k - 2 22
27,23,w,77335.0,3880.1,3299.3,74035.7,9,7734542,3rk2r/2q2pp1/p3b2p/4p3/1bN1Q3/1B1n1P2/PP3BPP/R4RK1 w k - 3 23
28,23,b,76016.7,3820.8,3248.6,72768.1,10,7878412,3rk2r/2q2pp1/p3b2p/4p3/1b2Q3/1B1nNP2/PP3BPP/R4RK1 b k - 4 23
29,24,w,74535.7,3754.1,3192.4,71343.2,10,8288011,3r1rk1/2q2pp1/p3b2p/4p3/1b2Q3/1B1nNP2/PP3BPP/R4RK1 w - - 5 24
30,24,b,73268.1,3697.1,2638.8,70629.3,10,6848460,3r1rk1/2q2pp1/p3b2p/3Bp3/1b2Q3/3nNP2/PP3BPP/R4RK1 b - - 6 24
31,25,w,71843.2,3632.9,2898.3,68945.0,11,7573157,3r1rk1/2q2pp1/p3b2p/3Bp3/1b2Q3/4NP2/PP3nPP/R4RK1 w - - 0 25
32,25,b,71129.3,3600.8,2966.4,68162.9,11,7785911,3r1rk1/2q2pp1/p3b2p/3Bp3/1b2Q3/4NP2/PP3RPP/R5K1 b - - 0 25
33,26,w,69445.0,3525.0,2997.3,66447.7,11,7561995,3r1rk1/2q2pp1/p3b2p/2bBp3/4Q3/4NP2/PP3RPP/R5K1 w - - 1 26
34,26,b,68662.9,3489.8,2837.8,65825.1,11,7558756,3r1rk1/2q2pp1/p3B2p/2b1p3/4Q3/4NP2/PP3RPP/R5K1 b - - 0 26
35,27,w,66947.7,3412.6,2901.8,64045.9,11,7126784,3r1rk1/2q3p1/p3p2p/2b1p3/4Q3/4NP2/PP3RPP/R5K1 w - - 0 27
36,27,b,66325.1,3384.6,2877.8,63447.3,11,7248131,3r1rk1/2q3p1/p3p2p/2b1p3/4Q3/4NP2/PP2R1PP/R5K1 b - - 1 27
37,28,w,64545.9,3304.6,2809.8,61736.1,11,6946565,3r1rk1/2q3p1/p3p2p/4p3/3bQ3/4NP2/PP2R1PP/R5K1 w - - 2 28
38,28,b,63947.3,3277.6,2786.8,61160.4,11,6901760,3r1rk1/2q3p1/p3p2p/4p3/3bQ3/4NP2/PP2R1PP/4R1K1 b - - 3 28
39,29,w,62236.1,3200.6,2721.2,59514.9,11,6653967,3r2k1/2q3p1/p3p2p/4p3/3bQr2/4NP2/PP2R1PP/4R1K1 w - - 4 29
40,29,b,61660.4,3174.7,1892.9,59767.6,10,5173308,3r2k1/2q3p1/p3p2p/4p3/3b1r2/3QNP2/PP2R1PP/4R1K1 b - - 5 29
41,30,w,60014.9,3100.7,2636.4,57378.6,10,6414083,3r2k1/6p1/p3p2p/q3p3/3b1r2/3QNP2/PP2R1PP/4R1K1 w - - 6 30
42,30,b,60267.6,3112.0,2645.8,57621.8,11,6923790,3r2k1/6p1/p3p2p/q3p3/3b1r2/Q3NP2/PP2R1PP/4R1K1 b - - 7 30
43,31,w,57878.6,3004.5,2375.0,55503.5,13,6563405,3r2k1/6p1/p3p2p/4p3/3b1r2/q3NP2/PP2R1PP/4R1K1 w - - 0 31
44,31,b,58121.8,3015.5,2563.8,55558.0,13,7322112,3r2k1/6p1/p3p2p/4p3/3b1r2/P3NP2/P3R1PP/4R1K1 b - - 0 31
45,32,w,56003.5,2920.2,2483.1,53520.5,13,6665728,3r2k1/6p1/p3p2p/8/3bpr2/P3NP2/P3R1PP/4R1K1 w - - 0 32
46,32,b,56058.0,2922.6,2484.7,53573.3,13,7185412,3r2k1/6p1/p3p2p/8/3bPr2/P3N3/P3R1PP/4R1K1 b - - 0 32
47,33,w,54020.5,2830.9,2407.0,51613.4,13,6654732,3r2k1/6p1/p3p2p/8/3br3/P3N3/P3R1PP/4R1K1 w - - 0 33
