ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
117,68,w,17567.2,1278.4,1087.4,16479.8,13,3138560,8/5k2/8/7n/4K1p1/7p/8/8 w - - 0 68
118,68,b,15506.7,1175.3,999.5,14507.2,12,2888709,8/5k2/8/7n/6p1/3K3p/8/8 b - - 1 68
119,69,w,16979.8,1249.0,1062.2,15917.6,11,2982400,8/5k2/8/7n/6p1/3K4/7p/8 w - - 0 69
120,69,b,15007.2,1150.4,891.1,14116.1,10,2413406,8/5k2/8/7n/6p1/8/4K2p/8 b - - 1 69
121,70,w,16417.6,1220.9,1038.4,15379.3,10,2950144,8/5k2/8/7n/8/6p1/4K2p/8 w - - 0 70
122,70,b,14616.1,1130.8,961.7,13654.4,10,2713856,8/5k2/8/7n/8/6p1/7p/3K4 b - - 1 70
123,71,w,15879.3,1194.0,762.8,15116.5,10,2049847,8/5k2/8/7n/8/6p1/8/3K3q w - - 0 71
124,71,b,14154.4,1107.7,942.0,13212.4,9,2661632,8/5k2/8/7n/8/6p1/2K5/7q b - - 1 71
125,72,w,15616.5,1180.8,1004.5,14611.9,9,2720768,8/5k2/8/7n/8/8/2K3p1/7q w - - 0 72
126,72,b,13712.4,1085.6,923.2,12789.2,8,2640896,8/5k2/8/7n/8/1K6/6p1/7q b - - 1 72
127,73,w,15111.9,1155.6,982.9,14129.1,8,2786816,8/5k2/8/7n/8/1K6/8/6qq w - - 0 73
128,73,b,13289.2,1064.5,905.2,12384.0,6,2770944,8/5k2/8/7n/8/2K5/8/6qq b - - 1 73
129,74,w,14629.1,1131.5,962.6,13666.5,8,2737152,8/5k2/8/7n/8/2K1q3/8/7q w - - 2 74
130,74,b,12884.0,1044.2,888.0,11996.1,6,2573312,8/5k2/8/7n/2K5/4q3/8/7q b - - 3 74
131,75,w,14166.5,1108.3,942.9,13223.6,9,2588928,8/5k2/2q5/7n/2K5/4q3/8/8 w - - 4 75
132,75,b,12496.1,1024.8,871.5,11624.6,7,2507264,8/5k2/2q5/7n/1K6/4q3/8/8 b - - 5 75
