agent.py: Numba search successfully imported and active.
agent.py: Numba search successfully imported and active.
engine snapshot: /Users/dannybudiada/Desktop/AIChessHackathon/aichessathon/tools/scratch/longgame-snap
  7d29bc31396ff3d2819d9dbdb6aa42ac1aa0c72e9a3010a554259167b04c35fa  agent.py
  8db41e93b7d4efbb80fb3f987e1d8aca920ec41829762192a7701fac5dae8a37  search.py
  88d79da47ab3ce15233b2153d522148b7a218e834875f28c0a96a55aeb0b16ee  nsearch.py
  d6bb8861c91cd3f59bd4269b07140144482d87c84f4c72148117b8cf93140149  bitboard.py
  c7776dff84ad726ef99787f7a3efb5acd0ee3d980edf5d590117282b2dbbee99  evaluation.py
python 3.13.5  chess 1.11.2
CHESSATHON_REQUIRE_NUMBA=1  USE_NUMBA_SEARCH=None
Warming up Numba JIT...
Warmup complete.
import + JIT: 10.3s   rss 310 MB
start fen : r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R b KQkq - 3 9
ply cap   : 600   claim_draw=False
numba     : white=True black=True

 ply   mv side   clock_in   budget     used  ratio  clock_out   d     nodes  ttocc%     rss   cnt
 226  122 black     3.52s     558m     320m   0.57      3.20s  37   1223051  99.34%    388M    82
 227  123 white     2.54s     200m       0m   0.00      2.54s   0        24  99.34%    388M    80
 228  123 black     3.70s     566m    1803m   3.18      1.89s  43   7101271  99.34%    388M    82
 229  124 white     3.04s     537m    1662m   3.10      1.38s  39   6305362  99.34%    388M    80
 230  124 black     2.39s     200m       1m   0.00      2.39s   0        20  99.34%    388M    82
 231  125 white     1.88s     188m       0m   0.00      1.88s   0        25  99.34%    388M    80
 232  125 black     2.89s     200m       0m   0.00      2.89s   0        18  99.34%    388M    82
 233  126 white     2.38s     200m       0m   0.00      2.38s   0        23  99.34%    388M    80
 234  126 black     3.39s     553m    1527m   2.76      1.87s  39   4898835  99.35%    388M    82
 235  127 white     2.88s     200m       1m   0.00      2.88s   0        27  99.35%    388M    80
 236  127 black     2.37s     200m       0m   0.00      2.37s   0        18  99.35%    388M    82
 237  128 white     3.38s     552m     283m   0.51      3.10s  32   1080075  99.35%    388M    80
 238  128 black     2.87s     200m       0m   0.00      2.87s   0        20  99.35%    388M    82
 239  129 white     3.60s     562m     362m   0.64      3.23s  44   1354122  99.35%    388M    80

ended     : FLAG (black)   plies=241   result=1/2-1/2
referee would have stopped at: (87, 'threefold_repetition')
fell back to python mid-game: False
  white: clock left    3.73s   min clock    0.04s   used  97.9% of 180.2s
  black: clock left   -1.02s   min clock   -1.02s   used 100.6% of 180.2s
worst overshoot ratio: 6.15x  at ply 217  used 3416 ms against budget 556 ms
  fen: 8/8/5K2/3bB3/8/5k2/8/8 w - - 32 118
tt occupancy end: 99.35%   white counter 80   black counter 82
rss now 388 MB   peak rss 592 MB   ru_maxrss 593 MB   (limit 2048 MB)
wrote /Users/dannybudiada/Desktop/AIChessHackathon/aichessathon/runs/2026-09-09-longgame/trajectory-numba.csv

position     clock   budget     used   ratio   overrun   d   move
middlegame    3100     540m   319.8m    0.59  -2780.2m   7   c5d4
middlegame    3000     535m   298.5m    0.56  -2701.5m   7   c5d4
middlegame    2999     200m     2.3m    0.01  -2996.7m   0   f8d6
middlegame    2000     200m     2.2m    0.01  -1997.8m   0   f8d6
middlegame    1000     100m     2.2m    0.02   -997.8m   0   f8d6
middlegame     500      50m     2.2m    0.04   -497.8m   0   f8d6
middlegame     200      20m     2.2m    0.11   -197.8m   0   f8d6
middlegame     100      10m     2.2m    0.22    -97.8m   0   f8d6
middlegame      50       5m     2.2m    0.44    -47.8m   0   f8d6
middlegame      10       1m     2.2m    2.22     -7.8m   0   f8d6
middlegame       1       0m     2.2m   21.70     +1.2m   0   c5c4  FLAG
middlegame       0       0m     2.1m     inf     +2.1m   0   c5c4  FLAG
sharp         3100     540m   274.3m    0.51  -2825.7m   7   c3d5
sharp         3000     535m   273.0m    0.51  -2727.0m   7   c3d5
sharp         2999     200m     2.3m    0.01  -2996.7m   0   c3d5
sharp         2000     200m     2.2m    0.01  -1997.8m   0   c3d5
sharp         1000     100m     2.2m    0.02   -997.8m   0   c3d5
sharp          500      50m     2.2m    0.04   -497.8m   0   c3d5
sharp          200      20m     2.2m    0.11   -197.8m   0   c3d5
sharp          100      10m     2.2m    0.22    -97.8m   0   c3d5
sharp           50       5m     2.2m    0.44    -47.8m   0   c3d5
sharp           10       1m     2.2m    2.20     -7.8m   0   c3d5
sharp            1       0m     2.2m   21.66     +1.2m   0   a2a3  FLAG
sharp            0       0m     2.1m     inf     +2.1m   0   a2a3  FLAG
krk           3100     540m   372.3m    0.69  -2727.7m  12   e8e4
krk           3000     535m   368.2m    0.69  -2631.8m  12   e8e4
krk           2999     200m     2.2m    0.01  -2996.8m   0   f5f6
krk           2000     200m     2.2m    0.01  -1997.8m   0   f5f6
krk           1000     100m     2.2m    0.02   -997.8m   0   f5f6
krk            500      50m     2.1m    0.04   -497.9m   0   f5f6
krk            200      20m     2.1m    0.11   -197.9m   0   f5f6
krk            100      10m     2.1m    0.21    -97.9m   0   f5f6
krk             50       5m     2.1m    0.43    -47.9m   0   f5f6
krk             10       1m     2.1m    2.15     -7.9m   0   f5f6
krk              1       0m     2.1m   21.43     +1.1m   0   f5f6  FLAG
krk              0       0m     2.1m     inf     +2.1m   0   e8e1  FLAG

slowest small-clock reply: 372.3 ms  (krk @ 3100 ms)
=== LONGGAME DONE Thu Sep 10 19:23:17 BST 2026 ===
