ply,depth,nodes,ebf,occupancy_pct,sec,fen
1535,10,241188,3.4533,99.9952,0.109,2r2rk1/1p2ppbp/3p2p1/p2P1q2/P1pP1PnP/1PPb1BP1/4N3/R1BQ1RK1 w - - 5 21
1540,10,526142,3.7334,99.9952,0.206,2r2rk1/1p2ppbp/3p2p1/p2P4/P1pPqPnP/1PP3P1/3BN3/1R1Q1RK1 b - - 1 23
1545,10,1840480,4.2315,99.9953,0.804,5rk1/1p2ppbp/3p4/p2q1p2/P1rP2nP/2P3P1/3BN3/1R1Q1RK1 w - - 0 26
1550,10,1274391,4.0788,99.9954,0.567,5rk1/1R2ppbp/3p4/p4p2/P1rP1RnP/2Pq2P1/3BN3/3Q2K1 b - - 0 28
1555,10,26938,2.7736,99.9954,0.014,5rk1/1R2ppbp/3p4/p4p2/P2P1RnP/2N4q/3B4/3Q1K2 w - - 2 31
1560,10,708354,3.8461,99.9955,0.301,5rk1/1q2ppbp/3p4/p4R2/P2P2nP/2NK4/3B4/3Q4 b - - 0 33
1565,10,822989,3.9043,99.9956,0.377,5rk1/5pb1/3pp3/p6p/Pq1P1RnP/2NK1Q2/3B4/8 w - - 0 36
1570,10,40,1.4461,99.9957,0.0,Q5k1/5pb1/3pp3/p6p/Pq1P1RnP/2r5/3BK3/8 b - - 1 38
1575,10,86156,3.1155,99.9958,0.037,5bk1/5p2/3pp3/p6p/P1qP1RnP/5Q2/4K3/8 w - - 2 41
1580,10,44,1.46,99.9958,0.0,5bk1/5p2/4p3/p2p4/P1qP2QP/8/8/4K3 b - - 0 43
1585,10,236768,3.4469,99.9958,0.095,5k2/5p2/4p3/p2p4/P1qb2QP/8/8/4K3 w - - 2 46
1590,10,418032,3.6486,99.9959,0.171,8/5pk1/4p3/p2p2Q1/q2b3P/8/8/4K3 b - - 3 48
1595,10,1320725,4.0934,99.996,0.531,6k1/5pb1/4p3/p2p2Q1/q6P/8/8/4K3 w - - 8 51
1600,10,911839,3.9445,99.996,0.343,6k1/5pb1/4p3/3p2QP/p7/8/5K2/3q4 b - - 0 53
1605,10,8472106,4.9295,99.9963,3.2,6k1/5pb1/4p2P/3p2Q1/3q4/8/p5K1/8 w - - 0 56
1610,10,20,1.3493,99.9963,0.0,3Q2k1/5pP1/4p3/3p4/4q3/8/5K2/q7 b - - 1 58
1615,10,470003,3.6916,99.9964,0.205,r1bqk2r/pp2ppbp/2Np2p1/8/4P1n1/2N1B3/PPPQBPPP/R3K2R b KQkq - 0 9
1620,10,1514560,4.1498,99.9965,0.654,r2qk2r/p3ppbp/3p2p1/2p5/4P1b1/2N1B3/PPPQ1PPP/R4RK1 w kq - 0 12
1625,10,371335,3.6056,99.9966,0.145,1r2k2r/p3ppbp/3p2p1/q1pN4/4P1b1/1P2B3/P1PQ1PPP/4RRK1 b k - 2 14
1630,10,1622034,4.1784,99.9967,0.782,1r2k2r/p3pp1p/3pb1pQ/2pN4/4P3/1P6/q1P2PPP/4RRK1 w k - 1 17
1635,10,422755,3.6527,99.9967,0.175,1r5r/p2kp2p/3pp1pQ/2p5/4P3/1P6/q1P2PPP/2R2RK1 b - - 1 19
1640,10,1690747,4.1957,99.9969,0.751,1r5r/3kp2p/4p1pQ/2ppP3/P7/8/q1P2PPP/2R2RK1 w - - 0 22
1645,10,855891,3.9196,99.9969,0.387,1r5r/3kp2p/P3p1pQ/2ppP3/8/8/4qPPP/R4RK1 b - - 0 24
1650,10,4343666,4.6109,99.9971,2.036,r6r/P2kp2p/3qp1pQ/2pp4/8/8/5PPP/R3R1K1 w - - 3 27
1655,10,1402405,4.118,99.9973,0.674,r6r/P2kp2p/Rq2p1pQ/3p4/2p5/8/5PPP/R5K1 b - - 1 29
1660,10,1189272,4.0507,99.9974,0.541,r6r/P2kp2p/R3p1p1/3p1q2/2p5/7Q/5PPP/3R2K1 w - - 6 32
1665,10,295219,3.5238,99.9975,0.135,r6r/P3pk1p/4R1p1/3p1q2/2p5/Q7/5PPP/4R1K1 b - - 0 34
1670,10,799514,3.893,99.9975,0.331,r6r/P2kp2p/6p1/3p4/2p5/4Q3/5PPP/6K1 w - - 2 37
1675,10,290584,3.5183,99.9976,0.121,r6r/P6p/3kp1p1/3p4/2pQ4/8/5PPP/6K1 b - - 3 39
1680,10,593072,3.7784,99.9977,0.242,r6r/P7/4p1p1/3p1k1p/2p5/8/1Q3PPP/6K1 w - - 4 42
1685,10,49,1.4758,99.9978,0.0,r6r/P7/4Q1p1/3p3p/2p1k3/8/6PP/6K1 b - - 0 44
1690,10,559532,3.7565,99.9978,0.238,r4r2/P7/1Q6/3p3p/2p5/3k4/6PP/6K1 w - - 3 47
1695,10,728340,3.8569,99.9978,0.309,r4r2/P7/8/3pQ2p/2p5/8/2k3PP/6K1 b - - 8 49
1700,10,219657,3.4212,99.9979,0.102,4rr2/P7/8/3p4/2p5/6Pp/2k4P/Q5K1 w - - 0 52
1705,10,674479,3.8273,99.9979,0.302,4rr2/P7/8/8/2pp2P1/3k3p/7P/Q5K1 b - - 0 54
1710,10,23321,2.7339,99.9979,0.011,4rr2/P7/8/8/Q2p2P1/2pk3p/7P/6K1 w - - 4 57
1715,10,679876,3.8304,99.9979,0.278,rn1qk2r/pbppbppp/1p2pn2/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq - 4 6
1720,10,1235208,4.0661,99.998,0.527,rn1q1rk1/1bppbppp/1p3n2/p2p4/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 w - - 0 9
1725,10,2671944,4.3922,99.9981,1.216,rn1qr1k1/1bpp1ppp/1p3n2/p1bP1N2/8/2N3P1/PP2PPBP/R1BQ1RK1 b - - 4 11
1730,10,2197411,4.3072,99.9983,1.031,r2qr1k1/1bpn1p1p/1p1p1np1/p1bP1N2/N4B2/6P1/PP2PPBP/R2Q1RK1 w - - 0 14
1735,10,2444559,4.3533,99.9984,1.044,r2qr3/1bpn1pkp/1p1p2pN/p1bP3n/N7/P5P1/1P2PPBP/R1BQ1RK1 b - - 2 16
1740,10,1239415,4.0674,99.9985,0.509,r2qr3/1bp3kp/3p2p1/ppnP1p1n/6N1/P5P1/1P2PPBP/R1BQ1RK1 w - - 0 19
1745,10,29478,2.7987,99.9985,0.011,r3r3/1bp3kp/3p1qpB/ppnP1p2/3Q4/P5P1/1P2PPBP/R4RK1 b - - 1 21
1750,10,535703,3.7402,99.9985,0.201,r3r3/1bp4p/3p1kp1/pp1P1p2/8/Pn2B1P1/1P2PPBP/R4RK1 w - - 2 24
1755,10,431797,3.6604,99.9985,0.165,r3r3/2p4p/b2p1kp1/p2P1p2/1p6/Pn2BBP1/1P2PP1P/3RR1K1 b - - 3 26
