ply,depth,nodes,ebf,occupancy_pct,sec,fen
1010,10,153356,3.3004,99.321,0.061,8/3k3p/8/8/1p2q3/5RP1/3p1PKP/3N4 w - - 0 40
1015,10,792864,3.8897,99.334,0.317,8/3k3p/8/8/7P/1p2NRP1/3p1PK1/1q6 b - - 2 42
1020,10,387267,3.6208,99.3492,0.158,8/7p/8/2k5/1R5P/4N1P1/1p1p1PK1/1q6 w - - 4 45
1025,10,964695,3.9668,99.3624,0.39,3R4/7p/8/1k6/7P/4N1P1/1p1p1PK1/2q5 b - - 9 47
1030,10,157842,3.31,99.3827,0.066,8/7p/k1q5/8/7P/4N1P1/1p1R1PK1/8 w - - 1 50
1035,10,809753,3.8979,99.398,0.289,8/7p/k7/8/7P/5PP1/5RK1/1qq2N2 b - - 3 52
1040,10,200981,3.3909,99.4116,0.074,8/7p/k7/7P/6P1/5P2/5RK1/2q1qN2 w - - 1 55
1045,10,422078,3.6521,99.4188,0.136,8/7p/8/1k5P/6P1/5PNK/R7/2q3q1 b - - 6 57
1050,10,4772340,4.6545,99.5096,1.588,8/7p/8/1k5P/5qPK/5qN1/4R3/8 w - - 2 60
1055,10,62,1.5109,99.5273,0.0,8/7p/8/7P/5qPK/1k3qN1/1R6/8 b - - 7 62
1060,10,814908,3.9004,99.6046,0.363,rnbqkb1r/pp3p1p/3p1np1/4p3/4P3/1NN5/PPP1BPPP/R1BQK2R b KQkq - 1 7
1065,10,1131674,4.0306,99.6174,0.497,r1bqk2r/1p3pbp/2np1np1/p3p3/4P3/1NN5/PPP1BPPP/R1BQK2R w KQkq - 0 10
1070,10,742606,3.8643,99.6235,0.309,r2q1rk1/1p3pbp/2npbnp1/p3p3/P3P3/1NN1B3/1PP1BPPP/R2Q1RK1 b - - 4 12
1075,10,1103446,4.0205,99.6408,0.489,2rq1rk1/1p3pb1/3pbnpp/p3p3/Pn2P3/1NN1B2P/1PP1BPP1/2RQ1RK1 w - - 0 15
1080,10,3332324,4.4903,99.6607,1.435,2rq1rk1/1p3pb1/3pb1pp/pB2p3/Pn2Pn2/1NN1BP1P/1PPQ2P1/2R2RK1 b - - 4 17
1085,10,1126504,4.0288,99.6771,0.476,2r2rk1/1pq2pb1/3pb1pp/pB6/P3PQ2/1NN2P1P/1Pn3P1/2R2RK1 w - - 0 20
1090,10,1255355,4.0726,99.6875,0.572,2r2rk1/1p3pb1/3p2pp/pBq5/P3PQ2/1bN2P1P/1P4P1/2R2R1K b - - 3 22
1095,10,582760,3.7718,99.6957,0.259,2r2rk1/1p3pb1/3p2pp/pB6/P2qP1P1/1bN2P1P/1P5Q/2R2R1K w - - 1 25
1100,10,532203,3.7377,99.6993,0.23,2r2rk1/1p3p2/3p2pp/pB6/P2bP1P1/1bN2P1P/1P2R3/2R4K b - - 2 27
1105,10,236268,3.4462,99.7046,0.09,2r3k1/1p3p2/3p2pp/pBr5/P3P1P1/1bb2P1P/1P2R1K1/R7 w - - 0 30
1110,10,175520,3.3453,99.7079,0.069,2r2k2/1p3p2/3p2pp/p1r5/P1B1P1P1/5P1P/4R1K1/R7 b - - 0 32
1115,10,93530,3.1412,99.7113,0.034,2r2k2/1p3p2/3p2pp/8/Pp2P1P1/5P1P/6K1/R7 w - - 0 35
1120,10,275859,3.5,99.7128,0.105,8/1p2kp2/3p2pp/8/Ppr1P1P1/5P1P/4K3/1R6 b - - 5 37
1125,10,222880,3.4262,99.7146,0.096,8/5p2/1p2k1pp/3p4/Ppr1P1P1/1R1K1P1P/8/8 w - - 0 40
1130,10,207350,3.4015,99.7163,0.084,8/5p2/1p2k3/3p3p/Ppr1P2P/3K1P2/8/1R6 b - - 1 42
1135,10,180602,3.3548,99.7194,0.073,8/5p2/1p6/3pk2p/Pp2P2P/5r2/3K4/6R1 w - - 0 45
1140,10,240296,3.452,99.722,0.098,8/5p2/1p1P4/6Rp/P2k3P/1p3r2/3K4/8 b - - 0 47
1145,10,89962,3.129,99.7228,0.039,8/5p2/1p1r4/7p/P6P/1pk5/8/2K3R1 w - - 0 50
1150,10,108512,3.1882,99.7241,0.045,8/5p2/1p6/7p/Pk5P/1p6/3r4/2K3R1 b - - 5 52
1155,10,74295,3.0697,99.7246,0.032,8/5p2/1p6/7p/P6P/kp6/7r/1KR5 w - - 10 55
1160,10,31282,2.8153,99.7254,0.013,8/5p2/1p6/7p/P7/kp6/7r/1K1R4 b - - 3 57
1165,10,38296,2.8729,99.7262,0.014,8/5p2/8/p7/7p/kp6/6r1/1K3R2 w - - 0 60
1170,10,278690,3.5036,99.727,0.083,8/5p2/8/p7/8/kp6/6rp/K1R5 b - - 1 62
1175,10,2578254,4.3766,99.7369,1.11,r1bqk2r/ppp2ppp/2np1n2/2b1p3/P1B1P3/2PP1N2/1P3PPP/RNBQK2R b KQkq - 0 6
1180,10,585731,3.7737,99.7482,0.248,r1bq1rk1/1pp2ppp/1bnp1n2/p3p3/P1B1P3/2PP1N2/1P1N1PPP/R1BQ1RK1 w - - 4 9
1185,10,2089793,4.2856,99.7579,0.91,r2q1rk1/bpp2ppp/2npbn2/p3p3/P1N1P3/1BPP1N1P/1P3PP1/R1BQ1RK1 b - - 0 11
1190,10,936642,3.9551,99.7657,0.411,1r1qr1k1/bpp2pp1/2npbn1p/p3p3/P3P3/1BPPNN1P/1P3PP1/R1BQR1K1 w - - 4 14
1195,10,299142,3.5285,99.7737,0.125,1r1qr1k1/bppb1pp1/2np3p/p2Pp3/P5P1/1BPP1N1P/1P3P2/R1BQR1K1 b - - 0 16
1200,10,1119225,4.0262,99.7822,0.484,1r1qr1k1/bppb1pp1/3p3p/p2Pp3/P2P1nP1/2P2N1P/1PB2P2/R1BQR1K1 w - - 3 19
1205,10,595683,3.7801,99.7867,0.254,1r1qb1k1/bpp2pp1/3p3p/p2P4/P2P1pP1/2P2N1P/1PBQ1P2/R5K1 b - - 1 21
1210,10,2707350,4.398,99.7961,1.034,1r1qb1k1/1p3pp1/1b1p3p/p2p4/P2P1QP1/2P2N1P/1PB2P2/4R1K1 w - - 2 24
1215,10,1044297,3.9984,99.8,0.448,1r1qb3/1p3pk1/1b1p2pp/p2p4/P2P1QPP/2P2N2/1PB2P2/4R1K1 b - - 0 26
1220,10,754385,3.8704,99.8081,0.308,2rq2k1/1p3p2/1bbp2pp/p2p4/P2P2PP/2P1RNQ1/1PB2P2/6K1 w - - 5 29
1225,10,1277031,4.0796,99.8142,0.551,3q4/1pr2pk1/1bbp2pp/p2p3P/P2P1QP1/2P1RN2/1PB2P2/5K2 b - - 0 31
1230,10,1255578,4.0727,99.8176,0.507,5k2/1pr2p1Q/1bbp1q1p/p2p2pP/P2P2P1/2P1RN2/1PB2P2/5K2 w - - 4 34
1235,10,1253555,4.0721,99.8219,0.572,5k2/1p2rpq1/1bbp3p/p2p2pP/P2P2P1/2PQ1R2/1PB2P1N/5K2 b - - 9 36
1240,10,761629,3.8741,99.8253,0.332,5qk1/1pb1rp2/2bp3p/p2p2pP/P2P2P1/1BPQ1R2/1P3P1N/6K1 w - - 14 39
1245,10,331440,3.5648,99.8284,0.143,2q3k1/1pb2p2/2bp3p/p2p2pP/P2P2P1/1BPQR3/1P3P2/6K1 b - - 0 41
1250,10,1314039,4.0913,99.8332,0.561,6k1/1p3p2/1bbp3p/p2p1Qpq/P2P4/1BP1R3/1P3P2/5K2 w - - 2 44
1255,10,162505,3.3196,99.8384,0.069,6k1/1p3p2/1bbp3p/p2p1Qp1/P2PB3/2P1R3/1P2KP2/8 b - - 0 46
1260,10,805810,3.896,99.8421,0.323,6k1/1p3p2/1bbQ4/p6p/P2Pp1p1/2P1R3/1P2KP2/8 w - - 0 49
1265,10,492849,3.7091,99.8453,0.203,5k2/1p3p2/1bb5/p2P4/P3p1pQ/2P1R3/1P2KP2/8 b - - 0 51
1270,10,1085035,4.0137,99.8488,0.419,8/1p2kp2/1Qb5/p7/P3p1p1/2P1R3/1P2KP2/8 w - - 1 54
1275,10,587306,3.7747,99.8519,0.239,8/1p3p2/2b2k2/p7/P1Q1p1p1/2P3R1/1P2KP2/8 b - - 6 56
1280,10,800947,3.8937,99.8664,0.291,8/1p3p2/2b5/p3k3/P1Q1pR2/2P5/1P2KP2/8 w - - 3 59
1285,10,9249751,4.9729,99.8919,3.252,8/1p3R2/3k4/p2b4/P1PQp3/8/1P2KP2/8 b - - 0 61
1290,10,12273477,5.1156,99.9319,4.264,8/1R6/k7/p2Q4/P1P1p3/8/1P2KP2/8 w - - 1 64
1295,10,658155,3.818,99.9338,0.295,r1bq1rk1/pp2np1p/2npp1pQ/2p5/4P3/2NP2P1/PPP1NPBP/R3K2R b KQ - 0 10
1300,10,1913531,4.248,99.9367,0.883,r1bq1rk1/pp2np1p/2n3pQ/2p1p3/3pP3/3P2P1/PPP1NPBP/RN3RK1 w - - 0 13
1305,10,1171105,4.0445,99.9396,0.553,r1bq1rk1/p3n2p/2n2ppQ/1pp1p3/3pP3/2PP1NP1/PP2NPBP/R4RK1 b - - 0 15
1310,10,1783370,4.2182,99.9419,0.708,r1bq1rk1/4n2p/5ppQ/pp2p3/3pP3/3P1NP1/PP3PBP/R4RK1 w - - 0 18
1315,10,696800,3.8398,99.9434,0.301,r2q1rk1/4n2p/4bppQ/1p2p2P/p2pP3/P2P1NP1/1P3PB1/R4RK1 b - - 0 20
1320,10,757798,3.8722,99.9448,0.295,r4rk1/4nb2/3q1ppQ/1p2p3/p2pP2N/P2P2P1/1P3PB1/R4RK1 w - - 2 23
1325,10,196356,3.383,99.9454,0.085,r4rk1/5b2/3q1p1Q/1p2pPp1/p2p4/P2P2P1/1P3PB1/3R1RK1 b - - 0 25
1330,10,242294,3.4549,99.9481,0.1,5rk1/r7/5p1Q/1p1qpPp1/p2p4/P2P2P1/1P3P2/3RR1K1 w - - 0 28
1335,10,1384838,4.1128,99.9498,0.631,5rk1/r7/5p1Q/4pPp1/pp1p4/P2P2P1/qP2RPK1/3R4 b - - 1 30
1340,10,674,1.9181,99.9504,0.001,5rk1/6r1/5p1Q/3qpPp1/p2p4/p2P2P1/1PR2PK1/7R w - - 4 33
1345,10,1069824,4.008,99.9517,0.5,5rk1/1q4r1/5p1Q/4pP2/p2p2pR/P2P1PP1/2R3K1/8 b - - 1 35
1350,10,372966,3.6072,99.9535,0.176,4r1k1/1q4r1/5p1Q/2R1pP2/p2p2pR/P2P2P1/7K/8 w - - 4 38
